year,international,financial_aid,SA
2023,No,No,0
2023,No,Yes,-0.9632411
2021,No,No,0
2024,No,No,-0.983772755
2021,No,No,0
2021,Yes,Yes,0
2024,No,No,0
2024,No,Yes,0
2024,No,Yes,0.870113373
2022,No,Yes,0
2024,No,Yes,0
2022,No,No,-0.99012357
2024,No,Yes,-0.994274855
2021,No,Yes,0
2024,No,No,0
2022,No,Yes,0
2024,No,No,0
2021,No,No,-0.999715328
2022,Yes,Yes,0
2024,No,No,-0.99932009
2022,No,Yes,-0.811791837
2021,No,Yes,0
2024,No,Yes,0
2024,No,No,-0.999720395
2022,No,Yes,0
2024,No,No,0
2021,No,No,0.993370712
2023,No,No,0
2022,No,Yes,-0.997969389
2024,No,Yes,-0.99844265
2023,No,No,0.993143559
2023,No,No,0
2022,Yes,No,0.995462298
2023,No,No,0
2021,No,No,0
2021,No,Yes,0
2024,No,No,0.998229146
2024,Yes,Yes,0.999706686
2023,No,Yes,-0.99982053
2022,No,Yes,0
2024,No,No,0
2024,No,No,0.635945201
2024,No,Yes,0
2023,No,Yes,0
2023,No,Yes,-0.863414526
2022,No,Yes,0
2024,No,Yes,0
2022,No,Yes,-0.999601007
2021,Yes,Yes,0
2024,No,Yes,0
2024,No,No,-0.998850048
2021,No,No,0
2024,No,Yes,-0.999712765
2023,No,Yes,-0.998996377
2021,No,No,0
2024,No,Yes,-0.992824376
2024,No,Yes,0
2024,No,Yes,-0.984633923
2024,No,Yes,0
2021,No,Yes,0
2022,No,Yes,-0.999231637
2024,No,No,-0.994560778
2021,No,Yes,0
2021,No,Prefer not to say,-0.995670378
2022,No,Yes,-0.99713546
2022,No,No,0
2023,No,Yes,0
2023,No,Yes,0
2021,No,Prefer not to say,-0.999052763
2024,No,Yes,0
2021,No,Yes,0
2024,No,No,-0.983092546
2024,No,Yes,-0.992561162
2024,No,Yes,-0.975848138
2024,No,Yes,0
2024,No,Prefer not to say,0.99937439
2022,No,Yes,0
2022,Yes,Yes,0
2024,No,Yes,-0.999251485
2021,No,No,0
2024,No,Yes,0.998482347
2024,No,Yes,-0.99976027
2021,No,Yes,0.982720971
2023,No,No,0
2023,No,Yes,0
2022,No,Yes,0
2024,No,Yes,0.999027252
2024,No,Prefer not to say,0
2023,No,Yes,0
2022,No,Yes,0
2024,No,No,-0.708472371
2023,No,Yes,-0.99982214
2024,No,Yes,0
2024,No,Yes,0
2021,No,Yes,0
2022,Yes,No,0
2022,No,No,-0.999627948
2024,No,No,-0.995485604
2021,No,No,0
2022,No,No,0.993739426
2023,Yes,Yes,-0.990257144
2022,No,No,0
2022,No,Yes,-0.998976052
2023,No,Yes,0
2024,No,No,0
2023,No,No,0
2024,No,Yes,0.998358846
2022,No,No,-0.999531269
2021,No,No,0
2022,Yes,Yes,-0.999456882
2024,No,No,0.715256989
2024,No,Yes,-0.998584867
2021,No,Yes,0
2021,No,No,-0.999682307
2024,No,Yes,0.999835253
2024,No,Yes,0.992796242
2021,No,Prefer not to say,-0.997310638
2021,No,Yes,-0.999365747
2024,No,No,0
2023,No,Yes,0.997708201
2022,No,No,-0.792078316
2022,No,No,0.999859214
2023,No,Yes,-0.999636769
2022,No,No,-0.540850163
2024,Yes,No,0.999758482
2021,No,No,-0.994815469
2021,Yes,Yes,0
2022,No,Yes,0
2022,No,No,0
2021,Yes,No,0
2024,No,No,-0.986217618
2022,No,No,0.998904526
2024,No,No,0
2022,No,Yes,-0.999633551
2022,Yes,No,-0.999783099
2024,No,Yes,-0.897021353
2023,No,Yes,0
2023,No,Yes,-0.991496146
2022,No,No,0
2024,No,No,-0.984383881
2022,No,Yes,0.984681487
2024,No,No,-0.99880445
2024,No,Yes,0
2023,No,Yes,0
2023,No,Yes,0.979039073
2024,No,Yes,0
2022,No,No,0
2021,No,Yes,-0.998706996
2024,No,No,0
2024,No,No,0
2021,No,No,-0.999589801
2024,No,No,0
2022,Yes,Yes,0
2023,No,Yes,-0.991198242
2024,No,No,0
2022,No,No,0
2022,No,No,0.995530128
2024,No,No,0
2024,No,No,-0.999630511
2024,No,Yes,-0.998082101
2022,Yes,No,0
2023,No,Yes,0
2023,No,No,0
2024,No,Yes,0
2022,No,Yes,-0.999737144
2024,No,No,-0.998770714
2021,No,Yes,0
2021,No,No,-0.973848224
2024,No,Yes,0
2022,No,No,0
2024,No,No,0
2022,Yes,Yes,0
2022,No,Yes,-0.989360154
2021,No,No,-0.998993278
2024,No,Yes,0.9993065
2021,No,No,0
2024,No,Yes,0.994027019
2023,No,No,-0.999569356
2024,No,No,0
2021,No,No,-0.99652642
2022,No,Yes,0
2023,No,No,-0.997478783
2021,No,Yes,0
2023,No,No,-0.999761164
2023,No,Yes,0
2023,No,Yes,0
2021,No,Yes,0
2023,No,Yes,-0.994031966
